,gid,배수_score,경사도_score
388,라사1783,1.04,4.61
389,라사1571,2.05,4.19
390,라사0685,1.65,5.03
391,라사2287,2.62,2.42
392,라사1699,2.3,3.57
393,라사2192,2.75,2.04
394,라사0570,1.61,4.34
395,라사1175,1.75,4.7
396,라사2196,2.15,4.09
397,라사2376,1.51,4.14
398,라사1186,1.24,4.51
399,라사3487,0.89,4.27
400,라사2798,1.16,5.3
401,라사1897,1.89,5.25
402,라사1777,1.06,5.23
403,라사1895,1.79,4.49
404,라사1692,2.45,3.68
405,라사2197,1.88,5.47
406,라사1887,0.4,0.08
407,라사1586,0.99,4.34
408,라사2073,1.92,4.74
409,라사0679,1.43,5.05
410,라사2095,2.58,2.64
411,라사2283,2.42,2.01
412,라사1286,1.69,5.04
413,라사1995,1.9,2.94
414,라사0469,1.17,3.36
415,라사1172,2.0,4.38
416,라사2176,1.34,4.31
417,라사1578,1.67,4.37
418,라사1596,1.64,3.28
419,라사2573,1.93,4.06
420,라아1500,1.44,4.56
421,라사1599,2.23,3.94
422,라사0797,1.92,5.44
423,라사1498,1.54,4.8
424,라사1293,2.2,5.68
425,라사0571,2.02,4.77
426,라사0984,1.45,5.26
427,라사0276,1.02,2.25
428,라사1373,1.67,4.95
429,라아1300,1.41,4.55
430,라사1999,1.45,4.92
431,라사1697,1.35,3.57
432,라사1775,1.59,4.81
433,라사1095,2.04,4.58
434,라아3303,1.35,5.16
435,라사3598,1.2,5.16
436,라사1885,1.67,1.87
437,라사1983,1.4,4.1
438,라사1878,1.45,3.23
439,라사1365,1.54,3.34
440,라사1781,1.28,4.86
441,라사1696,2.02,5.53
442,라사1064,1.59,3.12
443,라사0977,1.13,5.41
444,라사1779,1.91,2.29
445,라사1688,1.73,3.19
446,라사1166,1.84,4.09
447,라사1397,1.32,3.37
448,라사3094,1.68,4.59
449,라아0905,1.93,4.11
450,라사2593,1.41,5.62
451,라사2582,1.73,4.06
452,라사3187,0.95,4.2
453,라사2686,1.07,5.09
454,라사2574,1.75,5.0
455,라사0769,0.93,3.17
456,라사3495,1.34,4.95
457,라사2085,1.72,2.98
458,라사2199,1.12,5.32
459,라사1074,1.31,4.5
460,라사1698,1.65,4.11
461,라사1793,2.08,2.46
462,라사1371,2.08,3.53
463,라아1001,2.0,4.82
464,라사3194,1.17,5.31
465,라사2385,1.28,3.79
466,라아3402,0.92,4.74
467,라아3601,0.9,5.88
468,라사1181,1.56,5.25
469,라사3088,1.16,5.03
470,라사2087,1.26,4.32
471,라아3304,1.1,5.46
472,라사1379,1.88,4.56
473,라사1392,2.06,5.18
474,라사2671,1.77,4.13
475,라사2378,1.5,4.38
476,라사2272,1.15,4.95
477,라사0784,2.08,5.0
478,라사3689,1.0,4.24
479,라사1573,1.96,4.68
480,라사1572,1.94,4.77
481,라사1493,2.02,5.7
482,라사2084,2.25,1.34
483,라아1105,2.03,3.76
484,라아1101,1.89,3.77
485,라사1275,1.4,3.52
486,라사2186,1.85,3.2
487,라사0884,1.58,5.47
488,라사2389,1.07,5.05
489,라사0169,1.34,4.71
490,라사1780,1.79,4.67
491,라사2581,1.32,4.36
492,라사1972,2.2,3.92
493,라사1386,1.73,5.31
494,라사1691,2.36,2.82
495,라사1582,0.72,2.75
496,라사0785,1.69,5.47
497,라사0980,1.12,3.32
498,라사3298,1.3,4.63
499,라사3697,1.11,5.39
500,라사1266,1.51,4.91
501,라사2495,1.69,5.38
502,라사2077,1.21,4.56
503,라아1502,0.89,4.15
504,라사2375,1.55,4.16
505,라사2382,2.62,2.27
506,라사1988,0.42,0.29
507,라사2191,2.69,1.6
508,라사1984,2.2,2.51
509,라사1298,1.52,3.8
510,라사0275,1.14,2.42
511,라사0771,1.69,4.83
512,라아1202,1.76,1.31
513,라사2076,1.32,4.23
514,라사1677,1.22,4.73
515,라사1088,2.06,4.63
516,라사1297,1.64,4.07
517,라아0804,1.63,4.5
518,라사1484,1.52,5.51
519,라아1306,1.18,4.34
520,라아2101,1.34,4.88
521,라사2183,2.14,1.78
522,라아1305,1.61,4.24
523,라사1873,2.05,4.8
524,라사1264,1.18,3.9
525,라사2590,1.47,4.28
526,라사2290,2.04,3.58
527,라사3086,0.98,4.36
528,라아1302,0.76,1.38
529,라사3988,1.24,4.84
530,라사1889,0.8,1.01
531,라사2586,1.37,4.73
532,라사0880,1.07,4.52
533,라사0470,2.11,4.92
534,라사2090,3.07,1.03
535,라사3299,1.37,4.83
536,라사2985,1.12,5.0
537,라사2386,1.89,2.99
538,라사2195,2.79,2.11
539,라사1797,1.89,4.07
540,라아1602,1.29,5.22
541,라사3884,1.91,5.13
542,라사3986,1.2,5.54
543,라사0783,2.1,4.55
544,라사1886,0.92,0.58
545,라사2487,1.3,5.19
546,라사2082,2.31,3.06
547,라사1492,2.11,4.72
548,라사1268,1.95,5.18
549,라사1998,1.76,4.27
550,라사1588,2.64,2.72
551,라사1274,1.8,4.39
552,라사1798,1.98,2.29
553,라사1876,1.2,4.99
554,라사3486,1.13,4.94
555,라아1103,1.58,5.34
556,라사2584,1.95,3.54
557,라사1883,1.81,3.81
558,라사2373,1.49,4.77
559,라사2074,1.62,4.96
560,라아1200,1.54,4.7
561,라사1476,1.24,5.2
562,라사0976,1.44,5.19
563,라사3294,0.59,2.18
564,라사1989,1.15,0.69
565,라사1584,0.81,1.65
566,라사1394,2.0,5.56
567,라사0277,0.75,1.88
568,라사3881,2.0,5.76
569,라사1173,1.8,4.65
570,라사1398,0.83,2.66
571,라사2772,1.26,4.68
572,라사3073,1.44,4.92
573,라사2578,1.06,5.81
574,라사0579,1.22,4.49
575,라아1004,2.22,3.39
576,라사2575,1.4,4.89
577,라사1475,1.95,4.58
578,라사2276,1.78,3.81
579,라사3496,1.17,5.03
580,라사1291,2.04,5.45
581,라사0983,1.92,5.28
582,라사2072,1.59,3.9
583,라사2785,1.12,5.55
584,라사1182,1.69,5.3
585,라사0874,1.29,5.59
586,라사2277,1.21,4.84
587,라사2591,1.51,3.77
588,라사3786,1.01,5.75
589,라사1097,2.15,4.11
590,라사2688,1.55,4.47
591,라사1674,1.7,5.09
592,라사4098,1.07,5.81
593,라사1077,1.18,4.64
594,라사1496,1.4,3.35
595,라사1372,2.12,4.37
596,라사1986,2.0,1.79
597,라사1788,0.64,0.74
598,라사1381,1.14,5.6
599,라사1479,1.79,5.17
600,라사1676,1.45,4.54
601,라사1690,2.02,3.55
602,라아3104,1.08,5.02
603,라사0369,1.31,4.35
604,라사1178,1.82,3.31
605,라아1600,1.54,4.84
606,라사2392,3.2,1.08
607,라사2588,1.45,4.01
608,라사1774,2.06,4.4
609,라사1973,2.07,4.78
610,라사0671,1.96,3.64
611,라사3497,1.34,4.58
612,라사2592,1.51,3.65
613,라사1187,2.12,4.83
614,라사1472,2.01,4.54
615,라사0897,2.07,4.34
616,라사3083,1.17,4.56
617,라사2282,1.96,2.77
618,라사1171,1.67,4.22
619,라사1483,1.45,3.73
620,라사1267,1.82,5.38
621,라사0582,1.14,2.91
622,라사4091,1.18,5.63
623,라사3785,1.25,5.48
624,라사1574,2.18,4.26
625,라사0578,1.28,4.67
626,라사1468,2.02,4.56
627,라사1670,1.94,3.58
628,라사2683,1.1,4.93
629,라사3097,1.28,4.54
630,라사2172,1.6,4.3
631,라사3085,1.49,3.88
632,라사2278,1.18,5.33
633,라아1800,1.63,5.4
634,라사1073,1.47,5.28
635,라사1469,1.86,5.01
636,라사0982,1.99,3.97
637,라사1869,1.68,3.83
638,라사0672,2.1,4.32
639,라아1006,1.32,5.66
640,라사1987,1.97,1.38
641,라사1993,2.34,2.94
642,라사1566,1.67,4.49
643,라사1590,1.94,3.75
644,라사2280,1.6,3.42
645,라사2478,1.25,5.11
646,라사2198,1.27,4.86
647,라사0998,2.12,5.16
648,라사2473,1.8,4.23
649,라사1374,1.91,4.79
650,라사1899,2.19,4.39
651,라사2175,1.56,4.4
652,라사1370,1.34,4.72
653,라사0474,1.1,4.95
654,라사2190,2.24,1.78
655,라사0777,1.2,4.77
656,라사1567,1.6,4.56
657,라아1005,2.27,3.6
658,라사1981,2.03,4.28
659,라사4197,1.0,5.62
660,라사0482,1.63,1.79
661,라사2096,2.02,3.51
662,라사2486,1.76,4.2
663,라사1273,2.28,4.31
664,라사0988,1.17,5.89
665,라사1290,1.87,5.54
666,라사0398,1.05,6.0
667,라사2699,1.01,5.92
668,라사4193,1.11,5.46
669,라사2974,1.0,5.65
670,라사0898,2.0,5.7
671,라아0801,1.9,5.45
672,라사2882,1.0,5.92
673,라아2004,1.03,5.98
674,라아1603,1.07,5.72
675,라사0584,1.8,5.39
676,라사0774,1.56,5.45
677,라사3599,1.0,5.88
678,라사1089,1.64,5.18
679,라사4499,1.19,5.71
680,라사2178,1.01,5.55
681,라사2989,1.0,5.59
682,라사0681,0.72,2.85
683,라사0379,0.7,4.94
684,라아1703,1.3,4.87
685,라아4200,0.83,4.0
686,라사3683,1.94,5.56
687,라사0896,2.0,4.61
688,라사2982,1.02,5.77
689,라사0595,1.54,6.0
690,라사0499,1.39,6.0
691,라아1804,1.33,4.94
692,라사2398,1.05,5.12
693,라사3596,0.8,3.26
694,라사2897,1.03,5.79
695,라사0171,1.14,2.95
696,라사1194,1.53,5.75
697,라사2996,1.01,5.7
698,라아3903,0.33,1.61
699,라사0978,1.06,5.74
700,라사1188,2.03,5.31
701,라사3288,1.0,5.72
702,라아0400,1.99,6.0
703,라사3186,1.03,5.84
704,라사2995,1.27,5.68
705,라사2976,1.0,5.88
706,라사2878,1.01,6.0
707,라사1099,1.94,4.08
708,라사1098,1.65,5.57
709,라사3388,1.08,4.78
710,라사0873,1.08,5.73
711,라사2097,1.92,5.63
712,라아3001,1.0,5.8
713,라아0700,1.59,6.0
714,라사2270,1.62,4.51
715,라사2397,1.6,5.21
716,라사3897,0.4,2.05
717,라사2876,1.02,5.67
718,라사3484,1.95,5.97
719,라사4291,1.2,5.7
720,라사1369,1.49,5.71
721,라사4194,1.01,5.69
722,라사1282,1.3,5.56
723,라사4188,1.0,5.88
724,라아3105,1.0,5.99
725,라사4088,1.05,5.62
726,라아4400,0.92,4.75
727,라사2983,1.04,5.37
728,라사2498,1.01,5.46
729,라사0478,1.16,5.4
730,라사0070,1.16,2.39
731,라사4297,1.03,5.93
732,라사1380,0.85,4.97
733,라사1978,1.06,5.04
734,라아4201,0.68,3.73
735,라아4001,1.0,5.93
736,라사3698,1.0,5.71
737,라사4199,1.0,5.89
738,라사3793,1.0,5.15
739,라아1002,1.35,5.64
740,라사1199,2.01,5.23
741,라사2078,1.07,5.37
742,라사1192,2.04,5.44
743,라아4601,0.69,3.29
744,라사0894,1.67,5.99
745,라사2496,1.89,5.51
746,라아2200,1.01,5.25
747,라사2788,1.75,4.69
748,라사3389,0.61,3.52
749,라사3686,1.05,5.32
750,라아3101,1.0,6.0
751,라사4196,1.0,6.0
752,라아0604,1.15,5.86
753,라아1301,1.2,5.86
754,라사0498,1.92,6.0
755,라아3700,0.1,1.23
756,라사0786,1.68,5.07
757,라사2889,1.39,5.76
758,라아0907,1.42,5.96
759,라사3882,2.0,5.86
760,라사1367,1.83,5.44
761,라사3999,0.98,4.91
762,라아3701,0.69,3.96
763,라사1771,1.78,5.15
764,라사0373,1.5,2.26
765,라사1678,1.32,4.97
766,라사0975,1.0,5.72
767,라사2895,1.08,5.73
768,라사0271,1.19,2.11
769,라사2476,1.15,5.17
770,라사3387,1.01,5.56
771,라사2880,1.15,6.0
772,라사0380,1.3,5.52
773,라사2594,1.44,5.98
774,라사1795,1.69,5.5
775,라아2002,1.17,4.84
776,라사2778,1.08,5.96
777,라사0371,1.51,4.99
778,라사3894,0.9,5.36
779,라사0780,1.14,4.51
780,라사4293,1.04,5.19
781,라사1185,1.24,5.54
782,라사0965,1.56,2.67
783,라사2782,1.0,5.14
784,라사1191,2.01,5.32
785,라사2874,1.04,5.76
786,라사3583,1.38,5.92
787,라사2271,1.28,5.43
