,gid,geometry,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원
61,라사03b69a,"POLYGON ((1003500 1969000, 1003500 1969500, 1004000 1969500, 1004000 1969000, 1003500 1969000))",16.831,21.625,33.607,5.37,35.345,27.726
62,라사03b69b,"POLYGON ((1003500 1969500, 1003500 1970000, 1004000 1970000, 1004000 1969500, 1003500 1969500))",16.959,17.532,32.652,5.497,35.472,27.853
63,라사03b70a,"POLYGON ((1003500 1970000, 1003500 1970500, 1004000 1970500, 1004000 1970000, 1003500 1970000))",17.53,18.104,33.223,6.069,36.044,28.425
64,라사03b70b,"POLYGON ((1003500 1970500, 1003500 1971000, 1004000 1971000, 1004000 1970500, 1003500 1970500))",18.034,18.608,33.727,6.573,36.548,28.929
65,라사03b71a,"POLYGON ((1003500 1971000, 1003500 1971500, 1004000 1971500, 1004000 1971000, 1003500 1971000))",18.406,18.979,34.099,6.944,36.919,29.3
66,라사03b71b,"POLYGON ((1003500 1971500, 1003500 1972000, 1004000 1972000, 1004000 1971500, 1003500 1971500))",13.218,13.171,36.625,9.309,39.444,13.153
67,라사03b72a,"POLYGON ((1003500 1972000, 1003500 1972500, 1004000 1972500, 1004000 1972000, 1003500 1972000))",12.719,12.671,36.126,8.81,38.945,12.654
68,라사03b72b,"POLYGON ((1003500 1972500, 1003500 1973000, 1004000 1973000, 1004000 1972500, 1003500 1972500))",12.356,12.309,35.763,8.447,38.582,12.291
69,라사03b74b,"POLYGON ((1003500 1974500, 1003500 1975000, 1004000 1975000, 1004000 1974500, 1003500 1974500))",9.552,9.504,33.195,6.666,33.905,9.487
70,라사03b75a,"POLYGON ((1003500 1975000, 1003500 1975500, 1004000 1975500, 1004000 1975000, 1003500 1975000))",9.764,9.717,30.535,7.33,34.117,9.699
71,라사03b75b,"POLYGON ((1003500 1975500, 1003500 1976000, 1004000 1976000, 1004000 1975500, 1003500 1975500))",9.481,9.433,30.252,7.832,33.834,9.416
72,라사03b76a,"POLYGON ((1003500 1976000, 1003500 1976500, 1004000 1976500, 1004000 1976000, 1003500 1976000))",8.727,8.68,29.498,9.885,33.08,8.662
73,라사03b76b,"POLYGON ((1003500 1976500, 1003500 1977000, 1004000 1977000, 1004000 1976500, 1003500 1976500))",8.8,8.753,29.571,9.958,33.153,8.735
74,라사03b77a,"POLYGON ((1003500 1977000, 1003500 1977500, 1004000 1977500, 1004000 1977000, 1003500 1977000))",9.3,9.253,30.071,10.458,33.653,9.235
75,라사03b77b,"POLYGON ((1003500 1977500, 1003500 1978000, 1004000 1978000, 1004000 1977500, 1003500 1977500))",7.216,7.168,27.987,8.374,31.57,7.151
76,라사03b78a,"POLYGON ((1003500 1978000, 1003500 1978500, 1004000 1978500, 1004000 1978000, 1003500 1978000))",7.214,7.166,27.984,8.371,31.566,7.149
77,라사03b78b,"POLYGON ((1003500 1978500, 1003500 1979000, 1004000 1979000, 1004000 1978500, 1003500 1978500))",4.933,4.886,25.704,6.092,29.288,4.869
78,라사03b79a,"POLYGON ((1003500 1979000, 1003500 1979500, 1004000 1979500, 1004000 1979000, 1003500 1979000))",4.481,4.433,25.252,5.639,28.835,4.416
