,gid,고령인구,geometry,20년 노후건물 비율,생산가능인구,유아비율,총인구,개별주택가격,주거용도면적,공시지가,지상층수,용적율,지하층수,대지면적,연면적,높이,건폐율,건축면적,전체건물수,20년 이상 노후건물 수,노후건물비율,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원,읍면동,배수_score,경사도_score,산사태_길이,산사태_값(합)
854,라사10b90a,0.0,"POLYGON ((1010500 1990000, 1010500 1990500, 1011000 1990500, 1011000 1990000, 1010500 1990000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.066,21.261,24.45,17.893,26.096,24.244,서면,2.0,5.26,2500.0,6371.0
855,라사10b90b,0.0,"POLYGON ((1010500 1990500, 1010500 1991000, 1011000 1991000, 1011000 1990500, 1010500 1990500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.565,21.76,24.949,18.392,26.595,24.743,서면,2.0,5.87,2500.0,6453.0
856,라사10b91a,0.0,"POLYGON ((1010500 1991000, 1010500 1991500, 1011000 1991500, 1011000 1991000, 1010500 1991000))",0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.666,10.73,13.919,14.15,17.519,13.714,서면,2.0,5.15,2500.0,8124.0
857,라사10b91b,0.0,"POLYGON ((1010500 1991500, 1010500 1992000, 1011000 1992000, 1011000 1991500, 1010500 1991500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65,10.713,13.903,9.9,17.503,13.698,서면,2.0,5.62,2504.0,7799.0
858,라사10b92a,0.0,"POLYGON ((1010500 1992000, 1010500 1992500, 1011000 1992500, 1011000 1992000, 1010500 1992000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.484,10.547,13.737,9.734,17.337,13.532,서면,2.0,5.52,2500.0,7709.0
859,라사10b92b,0.0,"POLYGON ((1010500 1992500, 1010500 1993000, 1011000 1993000, 1011000 1992500, 1010500 1992500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.491,10.555,13.745,9.741,17.344,13.539,서면,1.82,5.92,2500.0,8214.0
860,라사10b93a,0.0,"POLYGON ((1010500 1993000, 1010500 1993500, 1011000 1993500, 1011000 1993000, 1010500 1993000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.669,10.732,13.922,9.919,17.522,13.717,서면,1.06,5.69,2503.0,7688.0
861,라사10b93b,0.0,"POLYGON ((1010500 1993500, 1010500 1994000, 1011000 1994000, 1011000 1993500, 1010500 1993500))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.532,11.886,17.322,8.662,23.385,19.579,서면,1.93,5.71,2502.0,7622.0
862,라사10b94a,0.0,"POLYGON ((1010500 1994000, 1010500 1994500, 1011000 1994500, 1011000 1994000, 1010500 1994000))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.032,11.385,16.822,8.162,22.885,19.079,서면,1.97,5.26,2500.0,7544.0
863,라사10b94b,0.0,"POLYGON ((1010500 1994500, 1010500 1995000, 1011000 1995000, 1011000 1994500, 1010500 1994500))",0.0,0.0,0.0,0.0,0.0,0.0,11457.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.532,10.886,16.322,7.662,22.385,18.579,서면,2.0,4.49,2500.0,8361.0
864,라사10b95a,0.0,"POLYGON ((1010500 1995000, 1010500 1995500, 1011000 1995500, 1011000 1995000, 1010500 1995000))",0.0,0.0,0.0,0.0,88120000.0,106.08,15006.63,1.33,16.75,0.0,610.4,78.96,5.17,14.82,74.51,6.0,0.0,inf,19.042,10.395,15.832,7.172,21.895,18.089,서면,2.09,4.18,2157.0,7650.0
865,라사10b95b,6.0,"POLYGON ((1010500 1995500, 1010500 1996000, 1011000 1996000, 1011000 1995500, 1010500 1995500))",6.0,7.0,0.0,13.0,54828571.43,64.98,22946.12,1.08,13.31,0.0,868.0,84.87,4.62,12.93,82.21,12.0,4.0,3.0,18.622,9.975,15.412,6.752,21.475,17.669,서면,2.11,3.97,1628.0,5288.0
866,라사10b96a,0.0,"POLYGON ((1010500 1996000, 1010500 1996500, 1011000 1996500, 1011000 1996000, 1010500 1996000))",0.0,0.0,0.0,0.0,46228571.43,82.68,26762.23,1.13,18.88,1.0,470.75,70.26,5.89,17.83,56.13,8.0,4.0,2.0,18.214,9.567,15.003,6.344,21.067,17.26,서면,2.03,4.96,1871.0,4922.0
867,라사10b96b,0.0,"POLYGON ((1010500 1996500, 1010500 1997000, 1011000 1997000, 1011000 1996500, 1010500 1996500))",0.0,0.0,0.0,0.0,0.0,0.0,1630.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.271,9.624,15.06,6.401,21.124,17.318,서면,2.0,5.46,5008.0,11724.0
868,라사10b96b,0.0,"POLYGON ((1010500 1996500, 1010500 1997000, 1011000 1997000, 1011000 1996500, 1010500 1996500))",0.0,0.0,0.0,0.0,0.0,0.0,1630.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.271,9.624,15.06,6.401,21.124,17.318,사북면,2.0,5.46,5008.0,11724.0
